iter	Passed	Remaining
0	661	660687
1	1157	577525
2	1714	569951
3	2199	547720
4	2645	526474
5	3170	525282
6	3647	517433
7	4159	515790
8	4646	511685
9	5110	505917
10	5536	497748
11	5981	492458
12	6405	486352
13	6804	479241
14	7262	476929
15	7692	473086
16	8164	472079
17	8623	470437
18	9088	469264
19	9620	471409
20	10549	491785
21	11088	492916
22	11674	495927
23	12182	495427
24	12618	492122
25	13006	487253
26	13368	481771
27	13783	478492
28	14194	475281
29	14582	471497
30	14977	468172
31	15346	464236
32	15726	460847
33	16095	457293
34	16473	454184
35	16863	451573
36	17217	448132
37	17552	444363
38	17930	441820
39	18320	439692
40	18681	436964
41	19065	434875
42	19441	432689
43	19889	432147
44	20319	431226
45	20708	429485
46	21084	427515
47	21463	425699
48	21917	425370
49	22309	423878
50	22648	421444
51	23012	419535
52	23351	417246
53	23698	415170
54	24073	413626
55	24440	411991
56	24839	410936
57	25221	409634
58	25577	407933
59	25971	406893
60	26343	405511
61	26705	404033
62	27056	402417
63	27398	400703
64	27778	399588
65	28210	399216
66	28615	398475
67	28979	397193
68	29355	396086
69	29722	394880
70	30080	393593
71	30447	392438
72	30819	391363
73	31214	390606
74	31592	389642
75	31964	388615
76	32313	387344
77	32721	386787
78	33096	385843
79	33447	384649
80	33805	383547
81	34170	382542
82	34563	381861
83	34914	380733
84	35266	379630
85	35591	378264
86	35939	377158
87	36347	376696
88	36710	375764
89	37038	374505
90	37423	373823
91	37809	373167
92	38146	372034
93	38458	370671
94	38822	369835
95	39178	368928
96	39555	368228
97	39893	367182
98	40250	366318
99	40581	365232
100	40966	364640
101	41309	363687
102	41668	362883
103	42013	361961
104	42393	361350
105	42749	360547
106	43083	359568
107	43427	358677
108	43781	357884
109	44162	357317
110	44565	356928
111	44980	356630
112	45357	356038
113	45702	355196
114	46068	354527
115	46402	353615
116	46744	352783
117	47093	352005
118	47432	351161
119	47810	350608
120	48187	350056
121	48521	349198
122	48863	348403
123	49222	347732
124	49554	346878
125	49898	346120
126	50246	345396
127	50618	344839
128	50989	344280
129	51335	343551
130	51713	343047
131	52054	342295
132	52417	341700
133	52769	341033
134	53180	340747
135	53539	340133
136	53900	339532
137	54242	338821
138	54606	338247
139	55006	337899
140	55364	337292
141	55717	336656
142	56063	335986
143	56419	335383
144	56770	334748
145	57094	333962
146	57468	333471
147	57802	332756
148	58139	332059
149	58495	331477
150	58848	330874
151	59210	330330
152	59562	329733
153	59911	329121
154	60274	328592
155	60634	328050
156	61029	327693
157	61447	327460
158	61834	327064
159	62208	326597
160	62557	325997
161	62903	325388
162	63230	324686
163	63596	324185
164	63963	323696
165	64293	323015
166	64651	322484
167	64996	321889
168	65333	321253
169	65688	320716
170	65995	319944
171	66342	319369
172	66710	318900
173	67052	318306
174	67393	317711
175	67749	317189
176	68090	316600
177	68447	316088
178	68793	315528
179	69182	315164
180	69555	314727
181	69918	314249
182	70246	313612
183	70590	313052
184	70918	312424
185	71270	311903
186	71597	311274
187	71946	310746
188	72307	310273
189	72655	309741
190	73040	309369
191	73395	308872
192	73759	308414
193	74155	308089
194	74542	307727
195	74884	307178
196	75222	306618
197	75572	306106
198	75928	305622
199	76281	305127
200	76620	304575
201	76965	304050
202	77344	303663
203	77720	303263
204	78089	302833
205	78451	302380
206	78788	301833
207	79104	301204
208	79481	300813
209	79833	300327
210	80185	299839
211	80505	299236
212	80885	298856
213	81229	298347
214	81614	297987
215	81941	297416
216	82291	296930
217	82635	296428
218	82983	295936
219	83348	295509
220	83689	294995
221	84049	294550
222	84392	294049
223	84757	293625
224	85126	293211
225	85473	292726
226	85819	292238
227	86173	291780
228	86527	291323
229	86903	290936
230	87237	290414
231	87584	289935
232	87949	289517
233	88299	289049
234	88660	288617
235	89033	288226
236	89378	287746
237	89740	287321
238	90090	286857
239	90428	286358
240	90761	285842
241	91112	285384
242	91441	284860
243	91769	284336
